,name,file
119,Niagara Solid,C:\Windows\Fonts\NIAGSOL.TTF
120,Gulim,C:\Windows\Fonts\gulim.ttc
121,Cambria,C:\Windows\Fonts\cambriab.ttf
122,Microsoft Tai Le,C:\Windows\Fonts\taile.ttf
123,HYMyeongJo-Extra,C:\Windows\Fonts\H2MJRE.TTF
124,Palatino Linotype,C:\Windows\Fonts\palai.ttf
125,Franklin Gothic Demi Cond,C:\Windows\Fonts\FRADMCN.TTF
126,Niagara Engraved,C:\Windows\Fonts\NIAGENG.TTF
127,Century,C:\Windows\Fonts\CENTURY.TTF
128,Calisto MT,C:\Windows\Fonts\CALISTB.TTF
129,HCR Batang Ext,C:\Windows\Fonts\HANBatangExt.ttf
130,Mongolian Baiti,C:\Windows\Fonts\monbaiti.ttf
131,Eras Bold ITC,C:\Windows\Fonts\ERASBD.TTF
132,Comic Sans MS,C:\Windows\Fonts\comici.ttf
133,Imprint MT Shadow,C:\Windows\Fonts\IMPRISHA.TTF
134,Franklin Gothic Heavy,C:\Windows\Fonts\FRAHVIT.TTF
135,HYGungSo-Bold,C:\Windows\Fonts\H2GSRB.TTF
136,Century Gothic,C:\Windows\Fonts\GOTHIC.TTF
137,Eras Medium ITC,C:\Windows\Fonts\ERASMD.TTF
138,Californian FB,C:\Windows\Fonts\CALIFI.TTF
139,Gill Sans MT Condensed,C:\Windows\Fonts\GILC____.TTF
140,Myanmar Text,C:\Windows\Fonts\mmrtext.ttf
141,Lucida Fax,C:\Windows\Fonts\LFAXDI.TTF
142,French Script MT,C:\Windows\Fonts\FRSCRIPT.TTF
143,Book Antiqua,C:\Windows\Fonts\ANTQUABI.TTF
144,Arial,C:\Windows\Fonts\arialbi.ttf
145,Arial Rounded MT Bold,C:\Windows\Fonts\ARLRDBD.TTF
146,Franklin Gothic Medium Cond,C:\Windows\Fonts\FRAMDCN.TTF
147,Trebuchet MS,C:\Windows\Fonts\trebucit.ttf
148,HCR Dotum,C:\Windows\Fonts\HANDotum.ttf
